['04/2005',1.41,0.87,159438236,119486999,228575881,507005031,177179.00,1.358857954,117332525.8,87931927.43,168211754.8,373111133.1,130388.17]
['05/2005',1.5,0.49,158834889,118114508,229496167,508556372,177496.70,1.365516358,116318554.6,86498054.24,168065483.5,372427887.1,129985.04]
['06/2005',1.59,-0.02,159920729,120023226,234929809,511263033,180881.80,1.365243255,117137168.4,87913436.37,172079084.2,374484936.1,132490.53]
['07/2005',1.51,0.25,161792497,122319288,238592203,523669654,184073.70,1.368656363,118212651,89371803.85,174325864,382615876.6,134492.27]
['08/2005',1.66,0.17,161674957,121923455,246942793,532728716,187246.60,1.370983079,117926296.5,88931407.61,180120963.4,388574245.9,136578.35]
['09/2005',1.5,0.35,162195289,123969884,251704471,544812328,181538.90,1.375781519,117893202.3,90108699.85,182953810.2,396002068.9,131953.29]
['10/2005',1.41,0.75,162628363,124088037,253886536,549116171,189183.00,1.386099881,117328026.1,89523156.82,183166119.2,396159164.7,136485.84]
['11/2005',1.38,0.55,164240579,126389576,255439322,562134835,194794.50,1.39372343,117843020.7,90684832.63,183278343.8,403333131.1,139765.53]
['12/2005',1.47,0.36,169322667,144418005,264628612,560858439,198480.00,1.398740835,121053638.3,103248580,189190595.9,400973808.1,141899.05]
['01/2006',1.43,0.59,168740218,139814118,265252898,590841116,185564.80,1.406993405,119929643.8,99370841.01,188524620.6,419931688.2,131887.47]
['02/2006',1.15,0.41,169964485,133692429,270559919,604313618,178482.20,1.412762078,120306517,94631949.03,191511311.9,427753283.6,126335.64]
['03/2006',1.42,0.43,167242327,134022978,279547142,613023323,190223.30,1.418836955,117872829.8,94459745.7,197025557.4,432060442.7,134069.88]
['04/2006',1.08,0.21,166661120,133081709,282224403,619180548,185030.60,1.421816513,117217037.8,93599777.32,198495657.1,435485551.3,130136.76]
['05/2006',1.28,0.1,166049303,134105261,293691512,621918508,197874.30,1.423238329,116670061.2,94225442.23,206354414.4,436974254.5,139031.04]
['06/2006',1.18,-0.21,167620322,135986740,297271194,622796496,199071.90,1.420249529,118021741,95748484.49,209309130.5,438512024.3,140166.85]
['07/2006',1.17,0.19,170109595,139345581,297780510,628810965,206974.40,1.422948003,119547302.2,97927387.86,209270127.5,441907198,145454.65]
['08/2006',1.26,0.05,171003430,140238803,296332198,640415458,209818.00,1.423659477,120115401.7,98505861.31,208148228.4,449837526.7,147379.34]
['09/2006',1.06,0.21,174233250,146036125,290625266,655326670,201055.40,1.426649162,122127608.3,102363025.8,203711798.1,459346759.8,140928.41]
['10/2006',1.09,0.33,176209350,148772530,296480406,658525119,214271.70,1.431357104,123106490.7,103938094.5,207132381.7,460070458.3,149698.28]
['11/2006',1.02,0.31,180118515,152694671,300191019,672115171,219724.20,1.435794311,125448689.7,106348569.4,209076618.2,468113827.8,153033.20]
['12/2006',0.99,0.48,187864030,169733934,292673651,676407970,221359.30,1.442686124,130218227.6,117651325,202867169.9,468853175.2,153435.52]
['01/2007',1.08,0.44,189734962,166674006,293637245,704593638,211130.70,1.449033943,130938935.5,115024224.8,202643455.3,486250609.6,145704.45]
['02/2007',0.87,0.44,192044825,160264916,294203380,716182586,202704.10,1.455409692,131952415.9,110116702.4,202144716.8,492083150.1,139276.32]
['03/2007',1.05,0.37,194873228,159948447,292843707,722367066,217588.90,1.460794708,133402200.1,109494130.9,200468762.2,494502794.9,148952.42]
['04/2007',0.94,0.25,197639653,161678475,295691042,742992967,215128.80,1.464446695,134958584.5,110402430.9,201913147.8,507354053.6,146901.08]
['05/2007',1.03,0.28,200246408,161345435,298836961,747096851,226537.90,1.468547146,136356812.6,109867385.2,203491567.8,508731948.6,154259.88]
['06/2007',0.91,0.28,203955119,165583266,302113938,753067064,228988.60,1.472659078,138494456.8,112438288.3,205148593.2,511365512.5,155493.29]
['07/2007',0.97,0.24,208214262,170656672,301258629,760865774,233824.10,1.476193459,141048086,115605899,204078013.7,515424160.1,158396.65]
['08/2007',0.99,0.47,212971473,174151111,308915980,757180152,235019.10,1.483131569,143595806,117421215.1,208286295.4,510527972,158461.40]
['09/2007',0.8,0.18,218432219,179358592,312773181,779833050,223002.70,1.485801206,147013085.1,120715067,210508094.8,524856923.7,150089.19]
['10/2007',0.93,0.3,221168739,182762622,317328898,792714804,241939.40,1.490258609,148409636.9,122638192.4,212935457,531931034.8,162347.26]
['11/2007',0.84,0.38,225354951,187241859,316256145,793439329,241938.40,1.495921592,150646231.9,125168230.8,211412247,530401682.4,161732.01]
['12/2007',0.84,0.74,234671897,214155337,309818791,777910747,242460.20,1.506991412,155722119.7,142107868.3,205587628.8,516201181.4,160890.23]
['01/2008',0.93,0.54,237490432,202948456,323962148,803115554,237247.70,1.515129165,156745997.3,133947956.8,213818171.7,530064084.6,156585.79]
['02/2008',0.8,0.49,240438780,190951499,330435931,811637272,232680.40,1.522553298,157918136.8,125415313.4,217027496.8,533076426.9,152822.50]
['03/2008',0.84,0.48,242582015,189359423,349804704,805100056,242124.40,1.529861554,158564684.7,123775528.9,228651215.6,526256806.6,158265.56]
['04/2008',0.9,0.55,242699018,191044848,381734303,799738108,248793.80,1.538275793,157773410.5,124194145.8,248157258.2,519892539.4,161735.50]
['05/2008',0.88,0.79,245170731,191882691,413629088,792860990,254936.90,1.550428171,158130983.1,123761096.8,266783779.9,511381955.4,164430.00]
['06/2008',0.96,0.74,248087169,190629165,432267784,781318896,265791.20,1.56190134,158836645.2,122049427.9,276757419.3,500235755,170171.57]
['07/2008',1.07,0.53,251930707,194074302,477177780,778810873,278095.60,1.570179417,160447082.9,123600080.3,303900162.5,496001198.7,177110.72]
['08/2008',1.02,0.28,255225913,192300570,517796164,770886065,269235.60,1.574575919,162091843.2,122128484,328848014,489583293.9,170989.28]
['09/2008',1.1,0.26,258397675,198029149,545378734,765717187,265271.20,1.578669817,163680633.1,125440511.3,345467258.7,485039480,168034.63]
['10/2008',1.18,0.45,259940515,199894602,573951258,746996190,280522.50,1.585773831,163920295.5,126054925.4,361937652.7,471060989.6,176899.44]
['11/2008',1.02,0.36,264128859,199130232,582369748,751833644,270698.80,1.591482617,165964023.9,125122467.5,365929066.4,472410842.7,170092.21]
['12/2008',1.12,0.28,271156743,222008940,588461524,747936567,264404.80,1.595938768,169904227.2,139108682.9,368724374.5,468649914.4,165673.52]
['01/2009',1.05,0.48,272499566,212754612,595862866,763467231,249934.40,1.603599274,169929963.4,132673178.1,371578408.4,476096019.4,155858.39]
['02/2009',0.86,0.55,274852749,202578899,601185517,776050436,244024.50,1.61241907,170459872.4,125636630.6,372846940.5,481295744,151340.62]
['03/2009',0.97,0.2,275496475,198233106,602049655,781135810,262181.70,1.615643908,170518066.3,122696037.8,372637591.7,483482657.3,162276.91]
['04/2009',0.84,0.48,276043847,199892749,603362233,796741636,259563.50,1.623398999,170040666,123132236.2,371666012.7,490786083.1,159888.91]
['05/2009',0.77,0.47,279463482,201586202,612046283,804926078,268324.00,1.631028974,171341825.6,123594494.8,375251631.1,493508141.6,164512.10]
['06/2009',0.76,0.36,283038102,204615096,622764113,798240387,275701.20,1.636900678,172910980.9,125001534.1,380453207.2,487653525.6,168428.79]
['07/2009',0.79,0.24,291041246,207755005,622114573,833091564,285444.20,1.64082924,177374487.8,126615859.8,379146444.9,507725937.4,173963.38]
['08/2009',0.69,0.15,295603406,206702982,619342640,854651539,284240.40,1.643290484,179885059.2,125786027.5,376891758.4,520085491.5,172970.27]
['09/2009',0.69,0.24,300498349,213022527,625010938,866840988,283157.90,1.647234381,182425981.7,129321321.5,379430483.7,526240223,171898.97]
['10/2009',0.69,0.28,302983247,216117801,618170486,890014578,301895.90,1.651846637,183420930.3,130834059.4,374229950.9,538799763.8,182762.67]
['11/2009',0.66,0.41,309223991,219877940,616062557,896930727,305048.80,1.658619209,186434589.3,132566859.7,371430979.3,540769528.3,183917.32]
['12/2009',0.73,0.37,319631931,244897021,611520093,902227823,313522.80,1.6647561,191999255.1,147106847.1,367333144.5,541957962,188329.57]
['01/2010',0.66,0.75,323908655,240128519,609095819,924014378,288972.80,1.67724177,193119835.6,143168697.1,363153261.3,550913049.2,172290.49]
['02/2010',0.59,0.78,326604361,234288145,612124447,934317516,285723.20,1.690324256,193219945.7,138605444.6,362134332.9,552744547.4,169034.55]
['03/2010',0.76,0.52,328636026,232458562,620537488,944427118,311651.60,1.699113942,193416119.9,136811638.2,365212404.3,555835070.5,183420.07]
['04/2010',0.67,0.57,331852076,234236600,613856608,960888504,307083.50,1.708798892,194201949.4,137076750.9,359232798.5,562318075.3,179707.22]
['05/2010',0.75,0.43,335901450,236503300,620970835,967027136,315988.40,1.716146727,195730029.8,137810652.4,361840176.7,563487445.9,184126.68]
['06/2010',0.79,0,341889866,239622402,631694252,979794379,321023.20,1.716146727,199219484.3,139628155.5,368088719.9,570926928.1,187060.46]
['07/2010',0.86,0.01,350691950,243919917,632552678,997770350,332454.20,1.716318342,204328032.5,142118108.9,368552070.2,581343405.7,193701.94]
