Data;2053 - Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governo Federal e Banco Central - u.m.c. (milhões);2054 - Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governo Federal - u.m.c. (milhões);4504 - Dívida Líquida do Setor Público (% PIB) - Total - Governo Federal - %
05/2003;526.104,73 ;547.833,65 ;34,65
06/2003;527.220,13 ;550.408,15 ;34,50
07/2003;546.644,87 ;572.336,42 ;35,48
08/2003;560.887,02 ;583.769,08 ;35,82
09/2003;561.166,35 ;559.126,37 ;33,79
10/2003;557.506,39 ;552.682,74 ;32,90
11/2003;570.562,83 ;567.124,39 ;33,38
12/2003;578.748,00 ;584.543,82 ;34,03
01/2004;583.404,26 ;598.830,99 ;34,52
02/2004;583.282,34 ;590.507,57 ;33,84
03/2004;580.776,28 ;590.587,49 ;33,45
04/2004;583.277,06 ;592.558,90 ;33,22
05/2004;597.730,92 ;609.122,89 ;33,77
06/2004;596.267,76 ;609.483,79 ;33,34
07/2004;593.278,72 ;604.948,02 ;32,67
08/2004;592.478,90 ;602.950,44 ;32,15
09/2004;588.017,42 ;596.913,09 ;31,51
10/2004;592.924,92 ;602.683,73 ;31,55
11/2004;590.792,38 ;598.274,32 ;30,94
12/2004;601.477,71 ;610.077,76 ;31,16
01/2005;603.635,49 ;611.296,12 ;30,92
02/2005;607.554,64 ;614.329,73 ;30,79
03/2005;613.739,76 ;621.544,66 ;30,88
04/2005;602.637,25 ;606.245,75 ;29,84
05/2005;606.148,71 ;602.959,40 ;29,42
06/2005;617.106,93 ;611.636,59 ;29,60
07/2005;625.108,05 ;621.328,57 ;29,87
08/2005;632.483,03 ;628.765,39 ;29,96
09/2005;637.990,27 ;627.770,86 ;29,70
10/2005;643.705,54 ;633.593,19 ;29,71
11/2005;650.952,31 ;638.869,62 ;29,70
12/2005;664.223,62 ;660.185,51 ;30,42
01/2006;674.374,64 ;674.190,27 ;30,78
02/2006;680.573,57 ;673.788,21 ;30,52
03/2006;685.942,22 ;681.797,83 ;30,64
04/2006;681.906,94 ;670.744,06 ;30,00
05/2006;685.517,66 ;692.066,70 ;30,67
06/2006;692.516,85 ;687.061,44 ;30,25
07/2006;698.395,18 ;693.152,75 ;30,22
08/2006;705.073,50 ;696.502,87 ;30,08
09/2006;712.532,15 ;706.558,10 ;30,24
10/2006;715.480,70 ;707.126,84 ;29,93
11/2006;721.825,71 ;717.551,52 ;30,06
12/2006;735.799,88 ;727.318,55 ;30,19
01/2007;735.219,20 ;739.728,91 ;30,39
02/2007;743.454,49 ;747.648,62 ;30,40
03/2007;756.150,64 ;750.319,85 ;30,17
04/2007;753.917,32 ;745.927,20 ;29,64
05/2007;772.360,73 ;746.223,25 ;29,31
06/2007;774.910,42 ;749.832,29 ;29,12
07/2007;785.558,41 ;753.805,99 ;28,96
08/2007;779.456,16 ;765.456,68 ;29,13
09/2007;798.767,91 ;763.420,70 ;28,82
10/2007;809.074,80 ;788.471,44 ;29,47
11/2007;802.270,82 ;794.051,20 ;29,43
12/2007;816.680,81 ;808.095,32 ;29,71
01/2008;802.152,55 ;796.209,43 ;28,99
02/2008;816.488,34 ;808.880,55 ;29,13
03/2008;802.462,43 ;796.090,24 ;28,42
04/2008;810.855,61 ;805.928,81 ;28,43
05/2008;827.042,31 ;821.998,18 ;28,71
06/2008;833.290,32 ;857.004,49 ;29,55
07/2008;840.320,06 ;864.154,11 ;29,39
08/2008;828.429,12 ;853.494,24 ;28,69
09/2008;782.228,72 ;808.957,67 ;26,78
10/2008;742.600,11 ;763.808,28 ;24,96
11/2008;704.795,45 ;736.065,55 ;23,83
12/2008;728.326,78 ;760.248,86 ;24,45
01/2009;749.887,36 ;779.974,74 ;24,99
