['RAIA','RAIA',																																						]	
['ano',2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009]
['AtivoTotal',13543969,12075866,7181702,6354767,5572454,4636460,4049289,3614093,3340186,2596652,922285,730954]
['AtivoCirculante',6695857,5518934,4316297,3825154,3350002,2637016,2243931,1903575,1693864,770563,666448,550086]
['AtivoNãoCirculante',6848112,6556932,2865405,2529613,2222452,1999444,1805358,1710518,1646322,1826089,255837,180868]
['PassivoTotal',13543969,12075866,7181702,6354767,5572454,4636460,4049289,3614093,3340186,2596652,922285,730954]
['PassivoCirculante',4583196,3941458,2776886,2415001,2127912,1614754,1275050,1020004,863276,324547,287654,291996]
['PassivoNãoCirculante',4597647,4109395,904959,717253,534755,387897,317302,267106,212251,70931,36014,27354]
['PatrimônioLíquido',4363126,4025013,3499857,3222513,2909787,2633809,2456937,2326983,2264659,2201174,598617,411604]
['ALPER','BRINSURANCE']
['ano',2020,2019,2018,2017,2016,2015,2014,2013,2012,2011]
['AtivoTotal',290004,253913,132880,293038,363194,441557,667008,779517,787850,571850]
['AtivoCirculante',59778,91498,43070,51078,44162,21363,25516,81442,221254,320979]
['AtivoNãoCirculante',230226,162415,89810,241960,319032,420194,641492,698075,566596,250871]
['PassivoTotal',290004,253913,132880,293038,363194,441557,667008,779517,787850,571850]
['PassivoCirculante',41399,35929,21224,15173,19670,51089,76900,88697,82362,50673]
['PassivoNãoCirculante',70878,41985,18513,19936,2038,5882,121311,187630,201709,75041]
['PatrimônioLíquido',177727,175999,93143,257929,341486,384586,468797,503190,503779,446136]
['PETRORIO','PRIO3']
['ano',2020,2019,2018,2017,2016,2015,2014,2013,2012,2011]
['AtivoTotal',3702287,2292725,1069612,976022,893076,959420,728591,1539017,3784902,4280910]
['AtivoCirculante',30484,8193,53587,192132,135520,37693,98193,33771,339430,1010051]
['AtivoNãoCirculante',3671803,2284532,1016025,783890,757556,921727,630398,1505246,3445472,3270859]
['PassivoTotal',3702287,2292725,1069612,976022,893076,959420,728591,1539017,3784902,4280910]
['PassivoCirculante',10728,6454,14422,5689,8366,5758,19290,20969,11272,2661]
['PassivoNãoCirculante',541145,121929,73016,109850,50558,39557,87568,63450,114253,406530]
['PatrimônioLíquido',3150414,2164342,982174,860483,834152,914105,621733,1454598,3659377,3871719]
['RENOVA','RNEW1']
['ano',2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009]
['AtivoTotal',1487003,1271499,1500235,1710631,3266028,3605019,3036574,1362141,1319162,851317,301417,151683]
['AtivoCirculante',262359,35426,294783,31242,66414,375150,219050,144507,421910,272930,129545,43620]
['AtivoNãoCirculante',1224644,1236073,1205452,1679389,3199614,3229869,2817524,1217634,897252,578387,171872,108063]
['PassivoTotal',1487003,1271499,1500235,1710631,3266028,3605019,3036574,1362141,1319162,851317,301417,151683]
['PassivoCirculante',489278,1308062,441524,395295,856004,216460,28215,23439,9181,154945,7487,2325]
['PassivoNãoCirculante',2105362,1093865,1158667,535528,454426,760643,498718,338102,317841,12161,1577,3994]
['PatrimônioLíquido',-1107637,-1130428,-99956,779808,1955598,2627916,2509641,1000600,992140,684211,292353,145364]
['ALSO3','ALIANSCE']
['ano',2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009]
['AtivoTotal',8255231,8208882,3814697,3559631,2871434,2835095,2741158,2600734,2438690,1959751,1358983,889776]
['AtivoCirculante',1193256,1038248,419729,529426,90361,170872,205121,282818,341858,129997,3596,373]
['AtivoNãoCirculante',7061975,7170634,3394968,3030205,2781073,2664223,2536037,2317916,2096832,1829754,1355387,889403]
['PassivoTotal',8255231,8208882,3814697,3559631,2871434,2835095,2741158,2600734,2438690,1959751,1358983,889776]
['PassivoCirculante',272318,113243,74850,84453,100307,98138,51243,49971,41571,14474,76712,1231]
['PassivoNãoCirculante',1438063,1652008,1185872,1009763,294432,318416,337107,320152,305417,1879,4884,7722]
['PatrimônioLíquido',6544850,6443631,2553975,2465415,2476695,2418541,2352808,2230611,2091702,1943398,1277387,880823]
['JSL','JSLG3']
['ano',2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009]
['AtivoTotal',4471381,7952741,7490756,5880467,5880467,6422669,6274214,5035404,3982925,3609056,2727561,1839339]
['AtivoCirculante',1661481,2194106,2266946,1460170,1460170,1934362,1765915,1162216,713815,723079,649637,542607]
['AtivoNãoCirculante',2809900,5758635,5223810,4420297,4420297,4488307,4508299,3873188,3269110,2885977,2077924,1296732]
['PassivoTotal',4471381,7952741,7490756,5880467,5880467,6422669,6274214,5035404,3982925,3609056,2727561,1839339]
['PassivoCirculante',801279,1153763,1589216,1056367,1056367,898991,964967,811530,678966,593937,537393,770603]
['PassivoNãoCirculante',2606784,5451933,5148395,4137312,4137312,4503826,4264394,3209237,2354106,2171728,1377021,699731]
['PatrimônioLíquido',1063318,1347045,753145,686788,686788,1019852,1044853,1014637,949853,843391,813147,369005]
['MILLS','MILS3']
['ano',2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009]
['AtivoTotal',1432697,1312812,1014648,1223576,1510747,1637957,1892723,1801245,1664061,1288603,924093,343965]
['AtivoCirculante',430832,179893,209377,232426,472258,435541,425333,319464,473677,224869,307915,62502]
['AtivoNãoCirculante',1001865,1132919,805271,991150,1038489,1202416,1467390,1481781,1190384,1063734,616178,281463]
['PassivoTotal',1432697,1312812,1014648,1223576,1510747,1637957,1892723,1801245,1664061,1288603,924093,343965]
['PassivoCirculante',110656,125862,166360,165439,193755,218904,221214,254983,214527,177737,160790,87704]
['PassivoNãoCirculante',224142,79577,97979,211557,319043,456822,612112,529749,590208,374726,108151,165916]
['PatrimônioLíquido',1097899,1107373,750309,846580,997949,962231,1059397,1016513,859326,736140,655152,90345]
['ECORODOVIAS','ECOR3']
['ano',2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009]
['AtivoTotal',1558026,2091462,2213381,1812428,1498527,2504716,2243665,2389158,2700982,1901726,1801758,631509]
['AtivoCirculante',22597,175226,284974,91067,109784,113601,64062,210169,463877,234198,396644,117839]
