DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;
NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS
UNIBANCO;N1;Bancos;Unibanco;FOLLOW-ON;ICVM 400;13/9/2005;20.49;14/09/05; 932 ; 1415 ; - ; 1765197436 ; 1765197436 ;3%;15%;80%;1%
BRADESPAR;N1;Holdings Diversificadas;Credit Suisse;FOLLOW-ON;ICVM 400;14/9/2005;53.00;15/09/05; 823 ; 1289 ; - ; 505059260 ; 505059260 ;9%;24%;67%;1%
CYRELA REALT;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;20/9/2005;15.00;22/09/05; 1574 ; 2025 ; 629175000 ; 273000000 ; 902175000 ;8%;19%;72%;1%
NOSSA CAIXA;NM;Bancos;UBS;IPO;ICVM 400;26/10/2005;31.00;28/10/05; 7342 ; 8983 ; - ; 953955994 ; 953955994 ;7%;22%;71%;1%
COSAN;NM;Alimentos Diversos;Morgan Stanley;IPO;ICVM 400;16/11/2005;48.00;18/11/05; 8835 ; 10359 ; 885767328 ; - ; 885767328 ;8%;18%;72%;1%
TRACTEBEL;NM;Energia Elétrica;UBS;FOLLOW-ON;ICVM 400;7/12/2005;13.00;09/12/05; 6351 ; 7405 ; - ; 1051700000 ; 1051700000 ;8%;36%;55%;1%
UOL;N2;Programas e Serviços;Merrill Lynch;IPO;ICVM 400;14/12/2005;18.00;16/12/05; 12890 ; 14346 ; 322972416 ; 301708170 ; 624680586 ;7%;21%;71%;1%
IOCHP-MAXION;N1;Material Rodoviário;Unibanco;FOLLOW-ON;ICVM 400;31/1/2006;19.25;02/02/06; 6870 ; 7577 ; - ; 340203787 ; 340203787 ;12%;44%;42%;3%
COPASA;NM;Água e Saneamento;Unibanco;IPO;ICVM 400;6/2/2006;23.50;08/02/06; 15465 ; 17214 ; 813461524 ; - ; 813461524 ;7%;18%;74%;1%
VIVAX;N2;Televisão Por Assinatura;Itaú BBA;IPO;ICVM 400;6/2/2006;24.50;08/02/06; 7730 ; 9017 ; 58800000 ; 470400000 ; 529200000 ;8%;23%;69%;1%
ROSSI RESID;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;13/2/2006;25.00;15/02/06; 3348 ; 3989 ; 762500000 ; 250000000 ; 1012500000 ;7%;12%;80%;0%
GAFISA;NM;Construção Civil;Merrill Lynch;IPO;ICVM 400;16/2/2006;18.50;17/02/06; 13753 ; 15560 ; 494394000 ; 432594750 ; 926988750 ;9%;18%;72%;1%
COMPANY;NM;Construção Civil;ABN Amro;IPO;ICVM 400;23/2/2006;16.00;02/03/06; 12903 ; 13701 ; 208000000 ; 73600000 ; 281600000 ;9%;27%;64%;0%
TOTVS;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 400;7/3/2006;32.00;09/03/06; 16017 ; 17600 ; 344800000 ; 115200000 ; 460000000 ;9%;21%;69%;0%
TAM S/A;N2;Transporte Aéreo;Pactual;FOLLOW-ON;ICVM 400;9/3/2006;42.00;10/03/06; 3510 ; 3891 ; 273162918 ; 1285960116 ; 1559123034 ;4%;19%;77%;0%
DASA;NM;Serv Méd Hospit. Análises e Diagnósticos;UBS;FOLLOW-ON;ICVM 400;22/3/2006;49.00;24/03/06; 2063 ; 2308 ; 185955000 ; 476428274 ; 662383274 ;4%;11%;85%;1%
EQUATORIAL;N2;Energia Elétrica;Credit Suisse;IPO;ICVM 400;30/3/2006;14.50;03/04/06; 7365 ; 7886 ; 185600000 ; 354670000 ; 540270000 ;9%;14%;77%;0%
SARAIVA LIVR;N2;Jornais. Livros e Revistas;Santander;FOLLOW-ON;ICVM 400;11/4/2006;22.00;13/04/06; 5976 ; 6226 ; 66000000 ; 116599230 ; 182599230 ;8%;17%;75%;0%
DURATEX;N1;Madeira;Itaú BBA;FOLLOW-ON;ICVM 400;11/4/2006;43.50;13/04/06; 4291 ; 4842 ; 195750000 ; 413250000 ; 609000000 ;6%;15%;46%;32%
SUBMARINO;NM;Produtos Diversos;Credit Suisse;FOLLOW-ON;ICVM 400;12/4/2006;53.75;17/04/06; - ; 140 ; 291506030 ; 637570890 ; 929076920 ;0%;10%;90%;0%
LOCALIZA;NM;Aluguel de Carros;Pactual;FOLLOW-ON;ICVM 400;19/4/2006;41.00;20/04/06; 2514 ; 2959 ; 156825000 ; 237214274 ; 394039274 ;8%;17%;74%;1%
ABNOTE;NM;Serviços Diversos;UBS;IPO;ICVM 400;25/4/2006;17.00;27/04/06; 15132 ; 16861 ; - ; 480434790 ; 480434790 ;8%;21%;70%;1%
RANDON PART;N1;Material Rodoviário;Santander;FOLLOW-ON;ICVM 400;26/4/2006;8.25;28/04/06; 4084 ; 4335 ; 99000000 ; 136200207 ; 235200207 ;11%;23%;54%;12%
CSU CARDSYST;NM;Serviços Diversos;Credit Suisse;IPO;ICVM 400;27/4/2006;18.00;02/05/06; 14362 ; 15585 ; 100288746 ; 240683832 ; 340972578 ;9%;16%;72%;4%
BRASILAGRO;NM;Exploração de Imóveis;Credit Suisse;IPO;ICVM 400;27/4/2006;1000.00;02/05/06; 3 ; 39 ; 583200000 ; - ; 583200000 ;0%;3%;82%;14%
LUPATECH;NM;Motores. Compressores e Outros;Pactual;IPO;ICVM 400;11/5/2006;22.00;15/05/06; 11198 ; 12203 ; 155048652 ; 297691372 ; 452740024 ;8%;19%;73%;0%
GP INVEST ¹;BDR;Holdings Diversificadas;Credit Suisse;IPO;ICVM 400;30/5/2006;34.27;01/06/06; 2356 ; 2524 ; 705980849 ; - ; 705980849 ;4%;17%;76%;3%
DATASUL;NM;Programas e Serviços;UBS;IPO;ICVM 400;31/5/2006;18.00;02/06/06; 5470 ; 5973 ; 150697674 ; 166314834 ; 317012508 ;14%;13%;72%;2%
PORTO SEGURO;NM;Seguradoras;Pactual;FOLLOW-ON;ICVM 400;13/6/2006;33.50;14/06/06; 272 ; 350 ; - ; 201000000 ; 201000000 ;3%;43%;54%;0%
BRASIL;NM;Bancos;BB Investimentos;FOLLOW-ON;ICVM 400;26/6/2006;43.50;28/06/06; 48602 ; 52923 ; - ; 2273208950 ; 2273208950 ;28%;19%;51%;3%
CYRELA REALT;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;19/7/2006;29.50;21/07/06; 1283 ; 1778 ; 728650000 ; 109297500 ; 837947500 ;4%;20%;75%;0%
